source	target	distance_nm
ALCH	ALUA	0.00
ALCH	ALVA	0.00
ALCH	ARBH	282.74
ALCH	ARCH	282.74
ALCH	ARUA	282.74
ALCH	AZCH	1263.79
ALCH	AZGS	1263.79
ALCH	AZMC	1263.79
ALCH	AZSJ	1263.79
ALCH	AZUA	1220.08
ALCH	CACH	1523.75
ALCH	CACL	1564.77
ALCH	CACS	1564.77
ALCH	CAGH	1527.99
ALCH	CAHP	1550.99
ALCH	CAIM	1547.60
ALCH	CALA	1571.45
ALCH	CALL	1516.31
ALCH	CAMB	1747.75
ALCH	CAPC	1736.37
ALCH	CAPM	1747.75
ALCH	CASD	1527.99
ALCH	CASF	1747.75
ALCH	CASG	1702.77
ALCH	CASH	1523.75
ALCH	CASJ	1547.60
ALCH	CASM	1702.77
ALCH	CASU	1736.93
ALCH	CAUC	1564.77
ALCH	CAUH	1564.77
ALCH	COCH	944.39
ALCH	COPM	951.14
ALCH	COSL	951.14
ALCH	COUC	944.39
ALCH	CTHH	832.86
ALCH	CTYN	809.58
ALCH	DCCH	572.79
ALCH	DCGU	572.79
ALCH	DCGW	572.79
ALCH	DCWH	572.79
ALCH	DCWR	573.32
ALCH	DEAI	658.55
ALCH	DECC	648.48
ALCH	FLAC	407.22
ALCH	FLCC	556.89
ALCH	FLFH	409.23
ALCH	FLHM	393.70
ALCH	FLJD	569.11
ALCH	FLJM	579.33
ALCH	FLLM	395.90
ALCH	FLMR	569.11
ALCH	FLSH	187.50
ALCH	FLSL	325.00
ALCH	FLTG	403.11
ALCH	FLUF	326.48
ALCH	GAEH	121.49
ALCH	GAEM	121.49
ALCH	GAMC	241.99
ALCH	GAPH	121.49
ALCH	HIQM	3791.35
ALCH	IAIM	583.31
ALCH	IAIV	538.41
ALCH	IAVA	538.41
ALCH	ILCH	494.39
ALCH	ILCM	503.72
ALCH	ILLU	504.83
ALCH	ILMM	401.42
ALCH	ILNM	503.72
ALCH	ILPL	503.72
ALCH	ILSF	451.32
ALCH	ILUC	503.72
ALCH	ILUI	503.72
ALCH	ILVA	503.30
ALCH	INIM	376.82
ALCH	INSV	376.82
ALCH	KSUK	506.20
ALCH	KYJH	289.02
ALCH	KYKC	289.02
ALCH	KYUK	294.32
ALCH	LACH	270.95
ALCH	LAOF	270.95
ALCH	LATU	272.86
ALCH	LAWK	355.18
ALCH	MABI	913.50
ALCH	MABS	847.58
ALCH	MABU	913.50
ALCH	MACH	913.50
ALCH	MALC	912.94
ALCH	MAMG	913.50
ALCH	MANM	913.50
ALCH	MAPB	913.50
ALCH	MAUM	882.38
ALCH	MDJH	602.19
ALCH	MDUM	602.19
ALCH	MEMC	984.48
ALCH	MIBH	566.10
ALCH	MICH	558.59
ALCH	MIDV	570.09
ALCH	MIHF	558.59
ALCH	MISH	570.09
ALCH	MISJ	558.59
ALCH	MISM	570.09
ALCH	MIUM	546.05
ALCH	MNAN	750.86
ALCH	MNCM	750.86
ALCH	MNHC	750.86
ALCH	MNMC	684.34
ALCH	MNUM	750.86
ALCH	MOBH	348.28
ALCH	MOCG	348.28
ALCH	MOCH	348.28
ALCH	MOCM	503.94
ALCH	MOLH	503.94
ALCH	MORH	503.94
ALCH	MOSL	348.28
ALCH	MOUM	422.30
ALCH	MSUM	185.70
ALCH	NCBG	358.77
ALCH	NCCM	312.88
ALCH	NCDU	417.42
ALCH	NCEC	483.19
ALCH	NCMH	408.72
ALCH	NDMC	1021.63
ALCH	NDSL	922.82
ALCH	NECH	637.00
ALCH	NEUN	637.00
ALCH	NHDH	912.77
ALCH	NJBI	743.37
ALCH	NJHK	753.24
ALCH	NJLL	681.59
ALCH	NJRW	724.66
ALCH	NJSB	739.78
ALCH	NJUH	743.37
ALCH	NMAQ	988.40
ALCH	NMPH	988.40
ALCH	NVUM	1402.39
ALCH	NYAM	824.22
ALCH	NYCC	756.08
ALCH	NYCP	749.12
ALCH	NYDS	749.46
ALCH	NYEC	675.33
ALCH	NYFL	722.30
ALCH	NYMA	758.25
ALCH	NYMS	749.12
ALCH	NYNS	763.67
ALCH	NYNY	749.12
ALCH	NYSB	789.51
ALCH	NYUC	749.12
ALCH	NYUM	760.76
ALCH	NYVA	758.25
ALCH	NYWC	769.45
ALCH	OHCC	537.66
ALCH	OHCH	428.20
ALCH	OHCM	353.28
ALCH	OHCO	512.85
ALCH	OHOU	428.20
ALCH	OHTC	353.28
ALCH	OHUC	353.28
ALCH	OHUH	537.66
ALCH	OKBC	543.31
ALCH	OKCM	543.31
ALCH	OKMD	543.31
ALCH	OKSJ	480.05
ALCH	ORGS	1794.07
ALCH	ORSV	1794.07
ALCH	ORUO	1794.07
ALCH	ORVA	1794.07
ALCH	PAAE	680.11
ALCH	PAAG	528.84
ALCH	PACH	528.84
ALCH	PACP	680.11
ALCH	PAGM	660.97
ALCH	PAHE	634.41
ALCH	PAHH	625.09
ALCH	PAHM	680.11
ALCH	PALV	689.37
ALCH	PAPH	607.37
ALCH	PAPT	528.84
ALCH	PASC	680.11
ALCH	PATJ	680.11
ALCH	PATU	680.11
ALCH	PAUP	680.11
ALCH	PAVA	528.84
ALCH	PRCC	1432.85
ALCH	PRSJ	1437.34
ALCH	RIRH	883.96
ALCH	SCCH	348.07
ALCH	SCLA	308.63
ALCH	SCMU	348.07
ALCH	SCPG	233.10
ALCH	SDMK	761.11
ALCH	SDSV	761.11
ALCH	TNBM	188.55
ALCH	TNEM	117.90
ALCH	TNLB	188.55
ALCH	TNMH	188.55
ALCH	TNST	158.79
ALCH	TNUK	204.34
ALCH	TNVU	158.79
ALCH	TXAS	531.80
ALCH	TXBC	647.52
ALCH	TXCF	531.80
ALCH	TXCM	504.77
ALCH	TXCT	591.17
ALCH	TXDC	647.75
ALCH	TXDL	591.17
ALCH	TXDM	591.17
ALCH	TXDR	733.09
ALCH	TXDS	591.17
ALCH	TXFW	531.80
ALCH	TXHD	504.77
ALCH	TXHH	492.96
ALCH	TXHI	492.96
ALCH	TXHS	647.52
ALCH	TXJS	481.66
ALCH	TXLM	752.98
ALCH	TXLP	1000.45
ALCH	TXMC	504.77
ALCH	TXMH	492.96
ALCH	TXPL	531.80
